1,and who are you?
3,merci
0,sure!
12,have a nice day
0,hm, i'd like that
15,are you okay
2,hi
1,what is your name?
15,how is your evening
2,hey let's talk
5,no I haven't decided yet if I want to sign up
1,can i call you something?
7,i'd like to cancel a future vacation
4,how many days i have already used up?
0,yep if i have to
0,yep
6,are you a bot?
2,Hellllooooooo
10,book holiday
4,how many days i have already taken?
13,Why do you exist?
4,how many vacation days do i have left?
2,heyho
0,jo
3,thanks!
2,good morning
6,what are you?
8,pardon
13,don't you want to help me?
15,How are you?
12,laters
3,thanks a bunch for everything
2,heyo
15,How've you been?
0,accept
2,aloha
2,good morning
4,how many leaves do i have planned?
12,that's all goodbye
4,days left for vacation
2,jojojo
9,how stupid are you?
2,helloooo
15,how's your day going
5,NEIN
3,great thanks
14,Do you always work?
0,I accept
3,thanks for forum link, I'll check it out
0,yop
2,heya
4,total leave days for this year?
8,sorry
4,show me how my vacations look like now
3,thanx
4,How many leave do i have
3,Thanks for that
2,jop
5,no
5,i don't think so
5,i decline
0,definitely yes without a doubt
10,Can I book any leave in 2020?
2,Hey
7,cancel future vacation
3,thanks for the help
0,sure
2,hello friend
2,hey, let's talk
11,this is total bs
3,Thank you so much
2,hey bot
5,i'm not sure
4,how much vacation do i have taken this year?
4,how many vacation days do i have for this year?
13,What are you able to do?
11,stop!
4,how man days of leave do I still have?
5,i don't want to
15,Do you feel good?
5,absolutely not
3,thank you
9,yes you're stupid
2,hi Mister
2,Hi bot
1,how should i address you?
1,can you tell me your name?
4,How many leave days did I take this year?
5,not yet
12,you can go now
10,could i book some vacation?
13,how can i save time with you?
5,no ma'am
2,Bonjour
7,i would need to cancel a booked vacation
2,hello it is me again
4,how many leave days do i have left?
0,cool!
4,annual left
12,bye
10,i would like to take a day off
9,fuck
2,hi balu
2,hi there it's me
3,danke
0,Yes
15,how are things with you?
2,ohai
0,coolio
12,bye for now
10,i'd like book some vacation
2,hi friend
3,cool, thanks
2,hey balu
0,yes that is correct
5,nooo
10,i'd like to take some leave days
13,Can you get us help?
4,how many vacation days
0,okie dokie
0,fine
9,you are lame
11,omg what are you doing?
2,hello sweatheart
2,Hei
7,i would like to cancel my vacation
9,shitty
5,i don't want either of those
4,how many vacation days do i have?
5,I'm not giving you my email address
12,goodbye
0,Sweet
9,wtf
7,can i cancel my planned vacation?
12,gotta go
12,till next time
10,i'd like to take some vacation
0,alright
0,yes
8,very sorry
5,nein
6,are you a chatbot?
3,thanks a lot
12,get lost
10,Can I book any leave in 2018?
13,why can't you tell me my leaves?
0,of course
5,incorrect
3,perfect thank you
0,ok cool
0,I changed my mind. I want to accept it
1,what's your name?
2,what up
0,that's right
4,how many days of vacation i have left?
1,what do people call you?
3,thanks balu
8,excuse me
13,how can you help me?
10,i'd like to book another holiday
0,yes i accept
5,no and no again
12,talk to you later
0,I'm sure I will!
13,What are your features?
0,yay
3,Thanks
15,how are you doing today my sweet friend
2,hi there
13,how can you help?
0,correct
4,total vacation days for this year?
3,thanks
15,Ahoy matey how are you?
2,greetings
3,Cool. Thanks
4,How many days of leave do I have left this year?
11,please don't to this
3,thanks
4,how many leave days do i have planned?
3,amazing, thanks
2,Good morning
3,cheers
15,how's life
13,what can you do?
1,Who is BALU?
15,how have you been
0,that's correct
2,heeey
13,where am i
6,are you a machine?
3,Thank you
4,ok i want to know my total leave days
15,How was your day?
10,i would like to book some vacation
2,hey bot!
3,thanks buddy
0,oh awesome!
4,how many vacation days do i have left for this year?
7,abort my planned vacation
3,thanks for your help
15,how are the things going?
15,Is everything ok?
0,Sure
5,never mind
3,Thanks!
10,can i take some time off?
2,good day
0,amayzing
2,hi there
15,how's life been treating you?
15,Are you ok?
5,no sir
9,annoying
11,how can we get this going again?
0,oki doki
0,that's what i want
0,oh cool
3,thx
12,see you
2,ayyyy whaddup
9,stupid
8,i apologize
15,how are you doing
15,are you alright
1,who are you?
5,never
4,how many leaves do i have booked?
15,Do you have a great day?
5,definitely not
4,and how much vacation do i have planned already?
10,could i book some vacation starting first of September?
7,could i cancel a planned vacation?
2,Heya
5,no
10,i want to take some holidays
2,hi pal!
15,how are things going
0,yas
5,No, not really.
9,you suck
7,i want to cancel my future vacation
2,hi?
15,What's new?
14,do you know me?
2,hello
0,yes please
11,this does not make sense at all
4,I wonder how many leave days I have left. Can you help me with that?
7,i would like to cancel my leave
2,hey hey
9,you're useless
15,how do you do?
4,vacation left?
2,hello?
15,how are you
2,yo
10,Can I book any leave in 2019?
0,absolutely
12,good bye
4,how much is left?
5,nah
0,confirm
4,how many days do i have already taken?
0,yup
4,how much holiday do i have?
3,cool thank you
13,what can you do for me?
12,that's it for now bye
7,cancel my planned vacation
4,how much vacation do i have already taken?
2,hi hi
15,what about your day
0,sure thing
13,why are you there?
2,hi
9,stupid thing
15,how are you doing?
5,I'm not going to give it to you
5,I don't want to give it to you
1,how are you called?
12,goodnight
7,would like to cancel a planned vacation
2,whats up
8,i'm sorry
4,how many leave days do i have already taken?
4,how much of vacation days i have planned?
7,would be great to be able to delete a canceled vacation
10,take vacation
5,i didn't do that
5,no sorry
5,no i don't accept
13,who am i
0,certainly
2,hey dude
6,are you human?
15,how are you feeling
0,yes please!
5,i said no
4,what leaves have i planned
15,I'm fine and you
0,right
4,what number of days i already took off?
15,how is it going?
3,thanks so much
9,Get your shit in order AI!
0,great
6,you are a bot
2,hi folks
2,Hi
15,How's it hanging?
14,you dont know me?
7,can i cancel?
4,how much vacation plans have i made?
4,how many vacation days do i have left this year?
15,how are you doing this morning
5,no you did it wrong
15,What's going on?
2,hola
12,leave me alone
5,I haven't
15,how is your day
10,i'd like to apply for leave
0,ok
2,Hello
13,what do you know?
4,how many vacation days do i have in total?
4,how many vacation days do i have taken?
4,vacation days for this year?
5,i'm afraid not
5,no go
0,go for it
2,hello is anybody there
0,okay
10,okay, i want to book holiday
10,can i take a day off?
1,tell me your name
15,how is your day going
2,hello there
4,how much vacation do i have planned?
3,cool thanks
11,stop this madness
0,yep, will do thank you
15,How's it going
2,hellooo
7,i'd like to cancel some vacations
15,is everything okay
4,how many days of leave do i have?
10,i would like to take some time off
10,book holidays
2,hey there
0,Oh, ok
10,i want to book vacations
14,when are you on holiday?
2,Well hello there ;)
4,how much annual leave do i have for this year?
11,can we restart?
0,how nice!
0,ja
5,no i can't
15,what's good
12,see ya
2,good evening
8,forgive me
0,amazing!
12,c u
0,definitely
15,everything's ok?
2,hey
2,hiii
2,hii
11,start all over
12,bye bye
8,my apologies
4,how many days did i take this year?
0,cool
4,How much leave do I have left?
15,how's life?
